"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24" "V25" "V26" "V27" "V28" "V29" "V30" "V31" "V32" "V33" "V34" "V35" "V36" "V37" "V38" "V39" "V40" "V41" "V42" "V43" "V44" "V45" "V46" "V47" "V48" "V49" "V50" "V51" "V52" "V53" "V54"
"62" 5.54 7.38 5.58 5.46 1.8 0.15 7.33 7.4 6.45 5.52 6.24 2.66 6.83 2.14 7.82 3.3 4.8 4.44 3.96 6.08 4.1 3.91 9.32 3.73 2.5 4.88 3.72 5.58 2.92 6.32 5.28 8.56 6.29 4.24 5.14 2.68 4.7 3.75 7.19 4.88 4.78 7.23 5.83 2.77 6.94 2.86 6.76 5.25 5.03 4.78 1.87 3.7 3.63 5.46
"63" 8.01 7.88 7.87 6.28 4.95 2.31 5.68 4.03 7.45 5.66 6.04 4.61 2.04 2.3 6.69 6.17 5.53 3.04 -0.5 7.94 3.99 4.04 2.35 5.38 5.46 2.4 5.38 3.49 2.18 4.86 4.67 5.81 3.35 5.34 6.29 4.36 4.63 4.96 4.17 6.44 7.34 4.63 4.61 5.22 5.17 6.38 3.84 6.52 7.58 3.56 6.39 3.79 11.53 5.79
"64" 7.82 4.31 5.5 6.05 7.98 4.17 2.92 5.6 3.61 5.91 2.64 6.99 3.7 3.59 2.49 1.33 -0.12 5.68 5.3 9.19 5.22 4.45 3.49 3.46 1.74 7.99 4.14 6.51 1.99 1.27 3.98 4.87 1.62 2.68 5.71 3.81 9.06 8.04 6.28 4.85 5.49 4.92 8.21 7.47 5.88 7.18 6.32 5.4 5.25 2.18 9.11 6.29 3.8 6.43
"65" 4.91 2.41 3.64 8.34 1.89 4.71 6.89 4.91 1.72 6.43 3.18 4.34 5.88 3.81 5 3.54 3.24 3.79 5.55 4.81 4.94 4.48 2.24 6.86 4.85 2.49 3.71 5.96 6.68 5.71 7.79 2.39 7.74 7.03 5.68 6.06 8.55 2.65 6.83 4.3 5.83 9.25 5.5 2.42 5.83 2.02 4.84 3.6 5.97 6.8 6.13 3.86 4.7 0.42
"66" 6.09 2.99 6.32 5.87 3.63 6.59 6.01 4.27 4.02 3.81 4.13 4.91 4.16 5.21 4.3 3.76 4.66 7.83 6.05 5.93 4.85 2.14 1.72 3.73 6.32 7.5 5.81 4.06 4.96 5.9 6.17 4.54 9.83 4.89 6.05 4.51 4.84 6.53 4.64 2.21 3.14 7.23 3.76 4.12 5.92 4.33 5.67 7.86 5.84 5.65 7.55 6.92 4.96 6.03
"67" 5.77 8.61 7.51 4.57 2.63 4.53 5.25 3.26 9.11 5.94 8.48 3.72 6.06 4.2 5.25 4.39 6.07 6.96 4.08 5.68 5.46 6.02 4.61 5.55 5.54 7.54 1.84 3.76 7.56 8.39 2.38 3.46 6.12 5.65 5.87 5.88 5.92 6.72 5.74 7.48 3.45 2.55 2.07 3 6.52 1.88 0.2 5.37 3.77 5.56 3.19 0.6 7.09 7.98
"68" 2.23 6.44 1.31 7.06 6.52 1.85 4.3 7.42 7.6 7.53 3.33 6.03 3.54 7.4 5.12 6.77 3.36 4.96 4.55 5.03 7.02 1.05 4.91 6.51 5.81 3.77 8.3 6.91 1.29 7.28 5.15 7.92 8.66 3.98 6.55 3.25 6.23 6.01 4.17 7.27 4.05 3.97 4.92 4.84 5.35 2.96 0.85 5.24 1.37 6.48 6.42 5.44 5 8.05
"69" 4.06 4.72 6.78 6.65 8.77 1.36 9.84 6.7 6.62 5.21 7.13 7.73 6 4.54 5.75 5.35 4.5 6.28 4.9 2.88 8.06 6.25 7.23 1.56 3.34 2.6 3.53 2.86 3.57 3.98 7.25 6.66 3.47 5.17 6.49 1.37 6.44 6.58 0.27 3.36 -0.58 3.6 1.95 6.33 3.72 4.02 4.73 5.68 5.15 5.86 8.04 5.45 8.08 8.49
"70" 9.47 1.66 1.13 4.58 3.72 6.99 5.76 6.33 2.56 2.98 5.43 7.01 3.67 1.2 4.49 1.95 6.08 7.42 8.04 2.61 4.89 6.95 5.56 5.26 6.97 2.87 1.91 5.9 4.56 6.18 4.94 7.02 4.62 2.5 5.2 3.36 3.42 7.85 5.3 6.21 5.68 6.3 6.21 7.53 7.67 3.12 2.37 5.28 5.9 5.54 8.41 6.32 5.97 5.28
"71" 5.92 4.3 4.79 3.76 5.41 3.89 0.12 6.26 0.04 5.06 5.27 6.57 6.47 5.42 6.99 4.02 6.5 5.59 5.19 5.53 4.21 8.36 4.02 2.44 5.6 5.35 2.12 2.46 5.64 8.28 3.9 6.82 3.27 3.69 5.9 5.59 3.1 3.4 7.13 0.95 8.4 1.6 3.42 5.92 5.34 3.45 2.36 3.06 5.63 6.61 3.31 2.44 5.59 4.75
"72" 4.25 1.43 5.13 6.92 5.81 6.36 6.52 4.06 4.63 3.99 5.01 3.95 4.12 7.5 4.41 0.55 4.53 3.39 1.25 3.5 7.05 6.66 4.36 7.88 6.32 5.83 3.24 6.15 5.03 4.59 3.11 5.82 4.78 5.17 3.16 4.26 5.13 3.67 6.72 3.27 7.97 7.24 3.36 4.01 5.01 3.74 4.57 5.01 7.2 6.56 7.75 7.97 5.98 6.26
"73" 5.24 4.3 4.11 4.64 2.83 8.63 5.66 3.8 5.16 5.28 8.1 1.55 3.44 4.72 4.65 3.2 3.04 6.32 3.9 8.17 5.2 6.35 4.17 1.82 7.11 1.23 0.91 6.67 5.22 4.03 4.39 6.15 2.51 4.29 5.18 3.67 6.56 7.11 3.55 7.33 6.94 5.02 3.09 6.16 5.84 4.65 3.82 5.79 3.12 5.87 5.55 8.8 8.31 4.29
"74" 2.39 2.14 7.74 1.43 6.87 8.45 5.32 7.29 2.27 9.09 6.89 3.42 6.1 8.19 3.8 5.69 3.97 7.43 2.75 7.89 1.2 3.58 4.44 1.52 2.26 3.54 5.3 2.34 3.5 7.96 7.8 5.27 6.17 7.33 5.09 5.11 2.09 8.56 3.16 5.32 7.63 6.06 4.51 6.88 5.15 4.95 4.4 7.22 2.14 4.89 3.97 8.48 11.2 2.61
"75" 5.67 4.46 3.81 2.6 4.64 4.83 4.79 4.55 2.79 3.16 3.56 4.96 6.83 3.68 2.6 6.52 3.77 4.43 2.81 5.25 4.05 7 6.28 2.88 4.25 5.25 4.97 3.95 9.61 6.36 8.86 3.29 3.58 3.81 4.37 6.28 2.58 4.89 2.9 3.2 5.2 1.62 8.09 3.63 9.25 4.73 2.83 2.41 6.92 6.02 5.35 8.05 3.76 5.65
"76" 7.26 3.68 5.52 4.01 7.86 7.97 4.9 1.53 7.97 2.36 3.47 1.88 6.28 5.92 6.1 5.02 7.29 7.37 6.13 6.13 5.14 6.66 3.77 2.44 6.11 7.12 2.4 0.26 6.76 10 5.96 2.08 7.88 6.15 7.38 4.16 6.67 4.76 6.61 3.22 4.04 6.84 4.39 2.54 7.45 4.72 4.77 2.09 5.37 4.33 1.78 4.57 6.28 4.02
"77" 2.51 7.47 4.34 6.04 5.74 6.82 9.32 5.64 2.78 3.56 4.5 6.65 1.4 5.71 4.81 6.34 1.14 2.1 5.31 7.98 8.97 6.15 3.02 7.91 3.82 4.46 7.16 5.2 4.58 5.14 1.99 7.36 1.71 4.38 4.27 4.97 5.92 2.38 7.46 1.84 3.48 8.4 4.55 5.45 5.82 5.72 3.08 7.69 6.3 4.82 6.34 5.16 4.9 6.04
"78" 3.89 0.46 1.08 7.01 0.25 6.12 4.15 4.68 9.05 5.44 3.25 5.92 4.28 8.59 3.94 6.05 2.63 6.2 5.9 6.99 4.8 6.94 5.45 7.98 5.23 5.24 2.24 1.38 6.05 3.6 8.34 8.3 5.85 3.48 2.19 3.24 5.74 3.43 4.55 5.66 5.85 5.48 5.16 4.49 4.54 4.01 4.01 6.08 5.63 3.42 3.39 4.5 6.78 2.22
"79" 3.57 7 0.46 4.89 4.68 6.04 4.33 3.68 5.01 3.93 2.82 3.28 4.63 6.53 3.91 5.01 3.36 2.91 6.5 7.44 3.4 9.05 2.41 6.29 4.5 2.49 7.68 3.41 5.41 5.08 3.57 6.53 6.26 2.02 3.75 8.58 3.61 3.72 4.42 5.56 6.64 6.23 6.76 8.22 4.87 2.22 4.05 3.42 5.45 4.28 4.45 4.68 5.43 6.74
"80" 1.65 2.17 4.18 5.87 3.2 4.48 4.99 2.55 6.06 6.83 5.85 6.33 6.06 7.89 -0.05 7.31 5 4.03 7.12 7.57 3.93 2.63 1.46 2.14 6.16 3.12 5.17 1.88 2 1.97 6.05 2.55 4.32 5.37 6.53 4.6 9.21 5.58 4.13 5.48 4.01 8.25 3.92 3.25 3.84 4.43 2.35 8.05 6.16 8.57 8.66 4.94 3.28 3.73
"81" 7.02 4.41 4.21 6.9 0.93 3.98 6.19 1.13 4.36 6.85 5.01 1.72 5.48 6.35 8.69 4.88 1.85 7.08 6.36 1.52 4.78 2.71 5.53 5.49 4.75 3.05 5.35 6.23 3.6 3.93 6.44 2.81 6.94 5.19 2.97 5.29 5.74 5.34 2.37 7.8 0.23 2.84 2.38 3.96 4.03 5.98 2.52 4.63 4.26 7.26 5.66 4.64 1.85 6.31
