"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24" "V25" "V26" "V27" "V28" "V29" "V30" "V31" "V32" "V33" "V34" "V35" "V36" "V37" "V38" "V39" "V40" "V41" "V42" "V43" "V44" "V45" "V46" "V47" "V48"
"70" 6.13 5.83 3.89 5.06 5.56 4.8 4.41 8.1 5.4 6.57 5.83 4.46 2.3 7.2 6.87 8.12 3.01 5.98 8.63 3.56 5.92 -0.95 5.05 3.92 3.8 7.41 5.67 8.2 4.49 6.28 6.48 4.48 7.89 2.92 3.3 4.07 4.98 7.71 1.84 7.01 3.48 3.34 2.63 6.08 1.88 5.3 5.6 3.5
"71" 5.66 8.71 7.74 6.59 6.58 4.58 -0.02 4.24 5.77 2.4 5.47 2.27 7.46 3.25 3.39 5.87 4.52 2.04 2.42 5.34 5.9 6.09 6.6 7.48 5.69 3.06 5.16 4.35 5.07 9.22 8.04 2.35 9.19 2.73 1.47 2.31 9.14 6.4 5.13 5.86 6.4 7.26 3.94 9.32 2.83 7.31 6 5.03
"72" 8.89 3.69 1.22 5.97 6.47 4.81 6.39 1.99 6.11 6.24 6.17 6.42 6.06 5.19 4.06 10.18 6.22 4.67 4.35 8.19 6.5 3.6 7.76 6.9 2.4 6.72 7.53 4.99 6.59 6.05 3.06 5.16 6.36 2.96 2.95 4.04 5.39 3.56 7.4 3.21 5.3 7.29 0.23 6.59 4.61 7.78 5.49 5.71
"73" 4.89 1.36 7.37 6.29 3.86 6.52 4.99 3.94 4.91 4.34 6 6.3 1.6 7.34 6.12 5.72 5.79 7.71 6.37 4.91 5 6.14 6.21 6.42 6.73 3.46 2.46 5.16 6.23 6.14 5.02 7.13 5.6 5.1 6.15 4.74 6.49 6.04 3.08 4.44 3.09 8.29 4.9 6.37 3.76 -0.34 4.05 4.59
"74" 4.77 6.24 6.03 6.99 5.45 4.34 3.4 2.66 2.65 3.93 7.82 7.18 1.87 4.41 6.83 5.59 5.7 5.76 5.06 12.01 5.06 6.5 4.26 8.04 1.87 4.48 7.12 3.74 1.3 7.15 1.38 5.78 2.99 6.41 2.84 7.13 6.52 6.62 2.63 1.13 7.16 1.33 5.04 7.27 1.69 6.07 2.92 5.82
"75" 4.75 5.18 5.79 5.9 4.1 5.17 1.93 3.22 7.74 7.09 3.33 4.24 2.44 2.59 6.32 4.22 1.38 4.15 4.65 3.85 3.99 3.15 3.54 6.79 6.88 1.77 6.04 2.95 3.79 6.13 7.15 6.82 4.06 4.22 7.06 3.56 5.15 4.92 6.54 7.62 4.18 5.51 2.12 6.12 3.46 4.03 0.02 2.11
"76" 4.67 5.14 1.11 4.83 2.95 3.81 3.72 0.38 5.05 6.41 7.81 8.56 5.35 8.1 6.82 10.03 4.28 2.57 6.13 4.64 6.15 1.6 2.6 6.84 3.49 4.44 6.72 7.17 4.41 4.28 6.58 7.82 5.71 4.51 2.1 8.19 8.49 6.76 6.08 3.8 5.55 4.69 4.51 2.8 8.67 6.71 6.32 2.9
"77" 5.23 6.24 0.43 3.79 6.75 1.09 6.26 10.79 5.71 4.89 5.09 4.81 3.51 4.67 4.33 3.83 3.23 5.74 5.81 6.05 6.77 3.33 3.47 6.75 1.09 5.68 4.22 1.22 4.56 3.52 8.17 4.25 7.52 5.84 2.06 6.92 7.07 4.5 3.73 5.08 4.64 3.09 6.64 5.07 0.18 5.34 2.88 4.34
"78" 5.42 3.46 6.77 7.37 8.08 5.8 5.31 1.72 3.66 6.05 6.81 4.65 4.61 2.59 2.59 3.94 9.56 5.77 4.13 4.87 5.32 6.36 6.18 4.48 6.33 4.76 5.96 1.96 6.03 8.37 1.26 10.07 4.23 4.92 1.81 0.45 7.14 6.14 3.19 4.25 5.07 3.15 2.6 2.92 3.66 1.93 9.35 1.77
"79" 6.56 3.92 2.4 3.62 5.81 7.11 2.79 6.26 5.54 4.06 0.9 3.08 3.8 7.49 4.37 4.15 3.63 9.14 5.23 5.39 7.8 7 4.29 5.69 4.8 6.9 3.25 5.34 2.31 4.04 4.8 5.35 4.64 6.15 5.07 3.5 5.51 6.6 4.6 2.04 7.66 5.31 8.54 2.72 2.98 7.34 5.99 1.76
"80" 2.1 7.56 7.71 1.12 5.56 8.05 5.52 5.66 1.51 2.35 2.66 4.47 9.15 -1.02 4.9 3.63 7.31 6.7 4.97 4.58 4.23 2.94 6.86 5.94 8.08 3.45 4.83 7.36 4.42 3.96 5.67 7.41 4.5 3.68 3.89 4.65 3.33 4.8 4.74 4.99 6.75 -0.12 6.42 3.64 8.37 7.12 8.52 4.32
