"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24" "V25" "V26" "V27" "V28" "V29" "V30" "V31" "V32" "V33" "V34" "V35" "V36" "V37" "V38" "V39" "V40" "V41" "V42" "V43" "V44" "V45" "V46" "V47" "V48" "V49" "V50" "V51" "V52" "V53" "V54" "V55" "V56" "V57" "V58" "V59" "V60" "V61" "V62" "V63"
"53" 6.34 2.89 7.15 6.05 -0.45 -0.31 8.38 4.32 3.08 4.63 6.31 3.88 6.07 4.08 3.44 5.49 7.69 4.58 10.2 4.22 7.74 2.81 4.91 4.69 7.69 2.91 0.72 9.01 6.12 5.72 3.81 6.29 6.25 3.63 2.93 4.31 2.83 4.8 6.97 2.83 2.03 5.91 2.66 7.25 3.67 6.38 4.1 8.08 5.12 6.82 4.33 9.55 7.21 7.53 2.69 10.19 1.88 4.45 6.51 4.56 5.73 5.06 3.69
"54" 5.52 4.28 3.45 5.6 1.22 3.56 5.29 1.34 7.22 3.21 2.85 2.85 8.53 3.39 10.93 1.55 4.93 3.77 3.87 3.61 4.59 5.64 5.6 2.98 7.64 7.55 4.51 7.48 5.86 5.68 4.59 5.08 6.54 5.68 2.43 4.51 5.63 4 4.49 3.25 5.97 5.52 4.06 5.04 5.69 5.22 4.11 2.82 4.62 5.5 3.56 9.78 3.65 4.15 8.69 4.69 2.33 7.41 2.46 2.78 1.52 6.62 6.41
"55" 3.1 4.83 6.93 4.79 6.82 8.14 4.32 4.9 4.41 3.33 4.82 3.54 3.53 5.93 3.06 2.91 3.68 -1.82 8.38 5.94 2.29 2.02 7.15 4.92 5.69 3.79 4.96 3.93 4.6 5.88 6.17 5.46 4.59 10.93 3.18 5.63 5.5 4.94 3.02 4.27 8.48 6.31 9.34 7.05 5.59 5.47 8.95 5.07 2.84 4.11 4.12 9.17 3.99 5.62 3.74 7.03 8.73 4.27 6 4.87 6.8 6.27 7.13
"56" 4.67 6.25 5.15 4.38 4.52 5.19 6.41 3.5 7.95 4.07 5.12 5.51 9.03 2.84 6.9 3.32 4.64 8.9 5.04 2.85 8.03 5.78 3.87 5.15 4.59 6.78 5.65 5.37 5.74 5.01 4.88 4.25 5.31 2.48 3.77 9.39 5.53 3.55 2.26 5.86 6.9 7.09 3.13 4.73 1.48 6.92 4.43 8.15 4.57 7.1 6.78 7.44 3.06 2.58 3.72 5.21 4.4 5.62 7.42 4.94 5.11 5.74 7.1
"57" 2.16 0.87 4.66 5.57 4.86 5.36 4.21 4.14 6.13 6.14 9.32 7.37 0.77 6.62 3.9 6.17 4.52 7.7 1.19 3.06 4.64 6.05 4.65 5.88 4.63 2.48 9.76 6.98 2.18 4.61 3.68 7.3 2.38 2.62 3.05 6.46 3.88 4.45 5.19 6.33 2.92 3.81 9.23 1.49 5.05 5.61 4.69 5.18 5.76 5.56 7.54 3.26 2.86 1.89 7.91 3.17 4.37 7.07 4.98 1.78 5.21 7.42 5.55
"58" 3.12 6.69 5.78 3.42 5.04 5.19 6.47 6.4 7.25 3.49 4.93 7.34 8.26 3.85 7.21 7.77 4.54 3.14 6.22 6.42 3.54 5.19 0.37 5.44 6.95 4.24 9.87 3.7 5.53 7.95 6.95 3.82 6.97 4.44 4.75 3.45 4.64 5.37 4.23 5.08 3.46 5.52 8.08 4.94 5.8 7.84 9.11 5.57 6.72 1.95 8.58 5.42 4.82 5.29 7.98 4.39 5.85 3.02 3.96 4.01 2.65 5.49 4.79
"59" 3.72 3.34 2.99 2.91 0.23 4.79 7.31 10.72 3.51 3.45 7.08 4.89 6.7 8.79 3.67 3.77 4.38 4.56 4.78 3.58 5.02 6.47 3.62 3.65 3.96 6.95 3.83 4.32 6.13 4.77 4.01 6.54 1.37 7.84 6.69 5.34 6.75 5.91 4.53 2.64 6.7 6.89 4.22 2.98 5.61 3.83 3.27 4.28 5.58 3.82 7.43 8.43 7.21 2.26 4.14 4.04 4.27 4.59 6.02 4.36 6.04 1.84 4.47
"60" 4.05 1.65 5.68 3.62 2.63 7.9 2.93 3.61 4.97 5.18 5.74 6.86 6.6 6.04 3.5 5.48 2.86 5.51 7.37 8.07 7.29 2.48 6.82 3.33 6.89 10.14 2.3 3.92 4.78 6.7 5.2 5.83 7.16 8.31 5.09 1.43 8.58 4.18 4.93 3.09 6.72 6.16 5.8 6.58 4.89 7.56 7.69 7.21 3.64 5.26 3.27 9.18 6.96 1.29 6.44 4.01 5.94 9.73 4.29 3.33 7.67 1.63 3.61
"61" 3.99 3.58 4.22 7.81 0.79 2.54 1.45 8.79 6.99 7.07 5.93 7.32 2.32 4.83 3.53 4.26 6.86 4.43 6.16 5.11 5.07 4.8 3.69 3.4 4.85 1.28 5.49 6.29 3.17 7.63 5 7.73 8.59 6.45 3.56 6.83 3.61 2.21 6.48 2.85 4.26 6.58 6.27 3.95 5.68 6.81 9.86 4.15 4.67 8.72 3.77 4.38 4.34 6.7 5.76 4.08 4.49 6.08 3.34 8.01 5.23 8.02 5.55
"62" 6.11 4.4 1.05 8.61 5.64 5.62 7.42 4.75 4.1 7.99 6.19 9.26 3.7 6.86 3.68 4.3 5.32 6.26 4.93 7.46 4.31 5.3 5.7 3.14 3.42 6.88 4.13 3.29 3.92 6.14 5.54 4.34 3.69 4.36 6.05 0.8 7.41 5.16 8.14 3.39 6.23 5.79 3.91 5.5 5.49 3.95 9.1 0.55 0.74 6.41 5.67 4.94 4 6.79 6.66 4.14 2.71 6.71 5.35 7.64 0.95 4.67 5.27
"63" 6.34 8.07 5.31 4.72 2.06 4.6 8.59 7.04 5.87 4.48 6.11 4.77 3.81 7.65 5.91 4.66 4.41 2.32 1.44 0.29 8.4 5.47 3.47 2.89 8.16 8.26 5.97 0.74 1.95 5.83 2.62 7.42 6.51 6.61 5.85 6.14 4.96 3.02 5.07 6.47 5.37 0.9 2.53 8.6 2.98 1.82 8.9 6.82 6.37 6.35 3.48 6.97 7.24 8.78 5.46 1.1 5.78 4.01 4.23 4.15 3.23 3.76 7.51
"64" 4.44 3.87 4.15 5.18 10.78 6.36 7.34 5.33 5.56 5.05 -0.87 6.04 1.78 6.07 6.2 4.78 6.31 4.19 4.51 3.62 5.46 2.1 6.68 6.1 4.26 6.65 4.95 5.23 3.19 4.69 3.34 5.84 6.89 3.52 3.17 5.46 7.46 4.31 3.69 4.02 5.24 3.44 2.69 2.12 7.08 7.83 2.67 3.65 5.78 3.63 2.54 3.66 4.8 2.62 0.98 6.53 5.1 4.87 7.35 7.08 4.63 6.89 6.59
"65" 2.69 7.54 2.55 4.16 4.28 0.55 6.01 2.91 8.65 5.33 3.94 2.8 4.81 4.21 0.25 4.79 3.11 2.77 4.76 4.17 8.16 4.54 2.9 1.44 2.9 6.2 3.88 3.71 5.52 2.36 3.76 6.24 7.03 9 6.25 2.25 10.21 1.97 7.69 8.4 5.32 3.74 6.54 6.54 5.15 0.65 7.23 4.05 7.63 4.04 6.41 8.44 4.21 2.58 7.24 5.29 5.16 8.26 2.02 8.77 1.22 2.26 5.54
"66" 7.32 5.75 4.72 7.05 4.6 2.74 4.53 2.42 4.31 5.84 1.8 6.18 4.29 5.18 6.25 6.26 7.97 4.86 7.84 4.8 6.79 7.72 6.33 4.44 7.29 2.76 5.05 5.73 2.6 4.54 1.01 4.81 4.42 4.5 2.7 4.06 5.79 7.81 4.84 3.13 4.34 5.26 4.37 3.34 3.46 5.03 2.79 8.8 9.36 5.76 -0.19 5.29 8.46 3.21 7.13 4.83 2.39 3.45 4.14 3.45 3.94 4.93 2.1
"67" 4.73 5.06 2.64 5.51 3.6 7.05 5.72 3.65 4.74 5.27 9.47 8.39 2.85 0.14 7.81 6.04 1.33 3.8 4.06 3.09 3.72 5.37 4.5 7.07 10.03 4.66 -0.18 5.89 6.56 6.36 5.48 3.67 5.5 4.32 3.96 8.76 5.19 3.26 4.52 6 3.86 8.91 4.76 3.75 7.44 6.24 4.8 6.98 6.03 6.45 5.16 3.9 8.4 2.63 7.37 3.02 7.85 5.51 9.88 4.4 2.74 0.64 8.82
"68" 4.21 7.03 3.9 5.31 5.76 5.37 6.61 6.41 4.22 7.64 0.72 2.89 3.43 4.74 6.95 6.42 4.08 6.77 7.09 7.03 5.74 4.85 4.21 5.65 7.12 3.02 5.62 2.58 8.12 5.14 8.1 9.2 0.78 4.88 5.83 4.73 7.14 4.43 6.17 5.94 7.84 3.24 4.73 6.94 6.14 1.68 6.25 2.31 7.81 6.25 10.56 5.96 6.45 5.28 5.4 5.63 4.15 5.88 4.43 0.46 7.17 6.68 5.66
"69" 1.56 4.84 7.69 5.58 3.99 6.99 1.03 5.19 3.81 3.65 1.53 5.07 5.74 7.67 8.51 4.45 1.44 4.37 4.86 -0.66 6.01 5.15 6.06 4.23 5.9 5.34 5.09 3.88 4.62 8.63 0.42 2.31 -1.58 4.95 5.21 7.97 2.73 5.49 7.34 8.34 4.57 7.46 2.66 4.6 2.31 9.02 4.57 6.28 6.41 4.36 4.92 6.19 5.05 5.27 5.86 3.84 5.62 6.22 7.1 3.62 5.08 6.02 7.83
"70" 6.77 4.7 1.18 6.75 3.56 3.97 5.58 3.81 5.64 8.18 3.65 6.86 7.42 4.84 6.58 6.07 4.17 7.61 4.47 4.88 5.54 6.22 5.13 1.74 5.82 4.84 4.86 5.53 1.39 7.18 2.47 3.03 4.1 4.83 4.4 3.19 5.85 6.36 1.13 3.09 5.15 7.31 6.73 3.13 6.54 4.27 6.71 3.71 5.89 2.98 6.36 2.74 3.95 4.14 2.41 4.39 4.21 5.04 4.1 4.92 1.31 5.07 2.36
"71" 9.13 3.21 5.31 6.27 4.39 4.49 5.44 3.98 7.05 5.05 5.64 4.9 4.63 7.17 5.43 4.53 2.58 5.48 5.63 0.85 4.86 5.97 4.86 6.2 6.67 4.08 4.29 3.76 6.03 8.8 3.54 3.39 3.94 5.5 4.22 6.88 5.45 5.84 4.4 7.06 3.57 1.81 5.19 6.83 4.59 7.62 5.4 6.4 6.64 5.07 7.83 1.05 4.02 8.15 5.71 4.83 3.02 3.79 9.41 7.09 5.92 5.87 1.75
"72" 0.46 2.32 5.35 2.36 2.48 4.11 5.94 7.2 3.05 2.03 4.57 5.04 8.01 2.37 3.7 9.51 8.55 3.5 5.58 1.18 7.82 7.55 5.15 6.56 4.39 6.52 6.19 0.45 6.4 5.61 6.74 5.65 2.34 6.29 4.77 3.88 3.29 3.85 8.6 4.44 8.5 1.35 3.05 7.47 2.26 -0.48 3.25 4.12 4.53 5.31 7.05 1.74 4.15 7.58 6.35 2.55 5.21 5.52 5.38 6.74 2.49 4.77 3.22
"73" 5.1 5.33 3.42 1.61 4.59 4.7 5.76 6.23 6.7 3.65 4.62 6.55 4.5 2.17 2.96 6.53 4.4 11.41 0.43 3.52 6.59 5.18 3.19 2.84 4.93 1.56 4.73 3.56 6.07 0.27 5.7 1.9 5.4 0.94 9.04 8.92 4.91 8.74 5.44 4.91 5.36 7.02 6.86 6.46 0.36 3.28 6.96 4.83 6.4 5.74 8.37 5.59 6.08 5.34 8.28 5.55 2.92 2.83 1.51 4.3 5.07 3.58 5.39
"74" 7.2 5.95 7.74 8.14 3.63 3.2 2.89 4.11 3.81 1.3 6.92 6.37 5.23 3.11 4.12 5.4 5.04 6.04 7.59 3.91 7.34 3.52 5.48 6.69 5 8.63 3.1 7.03 0.4 5.07 5.02 3.24 3.9 5.3 4.73 7.5 3.84 2.67 4.54 6.35 2.84 5.04 3.93 12.51 3.16 5.29 2.15 4.21 1.12 5.24 9.89 7.43 6.55 2.11 2.44 3.69 4.28 2.92 6.58 7.83 5.96 0.91 1.38
"75" 3.69 2.37 5.57 7.19 9.91 3.42 2.76 6.59 5.61 1.4 3.17 2.8 4.59 7.53 6.51 4.46 7.65 4.09 4.76 3.77 5.64 2.57 4.46 6.49 5.8 6.92 10 5.33 1.6 5.43 7.08 3.08 1.86 3.93 5.01 7.27 3.67 6.49 4.31 3.49 5.73 3.83 3.11 8.55 6.24 8.34 7.36 6.88 5.75 4.97 5.85 7.17 4.84 5.21 9.05 5.64 1.75 5.07 5.58 7.47 6.02 7.57 3.45
"76" 1.08 5.36 4.73 1.7 6.42 5.97 8.03 4.62 9.56 3.4 5.57 4.71 5.66 6.4 5.14 7.65 1.87 2.13 4.71 3.57 5.96 6.38 3.15 2.69 7.76 3.98 1.19 4.46 4.04 4.15 4.95 8.05 4.82 4.75 -1.48 0.89 4.76 3.51 2.95 6.17 7.07 3.33 7.96 4.52 3.11 7.02 6.41 8.79 5.83 5.9 6.85 6.63 4.43 2.4 8.94 6.65 6.52 6.57 3.32 5.9 5.82 4.2 4.31
"77" 4.76 3.17 4.23 2.75 6.3 4.74 5.42 4.01 6.29 6.91 4.27 7.81 4.99 5.15 2.64 5.51 3.55 6.66 1.65 6.34 4.12 3.98 4.35 3.55 3.85 7.25 4.36 4.29 2.9 8.51 3.69 3.82 6.64 4.45 1.64 6.33 1.15 2.91 5.77 3.94 6 2.98 2.42 -0.05 5.55 4.04 8.34 4.83 5.77 4.62 7.69 6.27 5.8 7.55 6.53 2.3 8.64 4.77 2.95 2.34 -0.37 3.82 4.77
"78" 3.97 2.79 8.16 4.71 4.09 5.09 4.69 4.31 7.75 7.58 0.46 8.16 5.2 4.38 10.23 2.45 7.87 4.49 3.24 5.4 11.22 5.85 2.69 5.59 7.59 1.23 5.53 1.22 4.49 7.77 4.76 8.49 2.18 12.41 8.81 5.34 0.43 3.6 5.27 5.52 2.31 4.32 3.1 3.64 5.14 6.72 3.49 8.21 2.62 7.25 5.74 3.62 2.69 7.67 2.49 7.12 4.59 2.37 9.4 1.91 5.37 5.67 1.56
"79" 1.15 6.1 1.69 5.16 5.77 4.14 6.35 5.46 7.85 7.44 3.45 3 4.59 6.23 2.62 2.97 4.9 3.91 3.52 6.68 3.22 2.98 5.18 4.78 3.07 6.5 6.57 6.54 3.98 5.09 2.44 5.48 5.46 7.56 6.67 1.15 4.77 5.34 4.68 8.82 4.85 7.45 1.25 6.46 5.34 3.64 3.35 1.16 11.7 9.11 5.01 1.17 5.78 9.01 6.25 2.98 5.17 3.45 2.09 5.61 2.72 3.14 0.99
"80" 4.29 5.93 2.55 4.71 1.92 4.72 8.16 4.19 6.27 3.58 2.61 4.9 3.29 4.66 7.18 4.56 5.89 3.28 0.52 6.45 2.1 5.14 4.27 5.36 4.48 5.71 2.59 2.57 3.25 5.24 6.05 4.27 4.15 5.81 4.6 4.27 5.67 5.46 5.58 3.09 5.59 6.31 6.38 3.48 5.79 6.42 3.1 6.45 4.58 4.38 6.69 4.31 2.24 5.9 3.39 6.09 5.38 2.94 -0.43 3.66 5.3 2.88 6.33
"81" 5.5 4.69 5.9 5.61 6.48 2.98 4.33 4.86 1.18 4.75 5.82 5.83 3.18 6.19 2.75 5.91 4.33 5.84 3.77 7.38 7.66 4.72 6.15 3.38 4.61 6 2.4 6.94 3.02 3.04 3.47 5.7 4.41 3.97 7.41 4.6 5.91 5.02 4.25 3.87 9.7 3.04 2.79 6.94 11.95 8.16 3.36 10.7 2.6 4.79 7.63 1.44 5.2 2.57 2.71 4.72 4.29 2.51 3.03 3.09 2.7 2.95 4.25
"82" 7.02 4.95 4.2 0.97 4.42 6.81 3.2 3.15 4.87 9.01 7.74 2.18 6.75 9.65 4.14 5.92 3.25 7.09 4.13 6.24 3.85 3.36 3.71 6.2 1.93 8.67 6.06 7.13 6.09 8.02 5.48 2.27 5.8 3.53 4.07 3.92 6.88 6.97 3.11 4.8 4.43 7.83 6.11 4.99 6.77 3.94 6.13 5.29 7.59 2.88 1.1 3.89 9.58 7.14 5.92 5.42 1.77 6.28 4.49 3.22 7.44 2.17 6.48
"83" 5.67 2.23 3.88 4.52 5.71 3.23 5.43 1.8 6.09 4.44 4.14 1.68 8.27 6.88 6.43 2.69 8.05 4.23 6.4 6.24 6.85 5.13 6.58 3.34 3.4 6.08 5.53 8.06 3.82 8.79 3.09 8.56 5.2 5.19 7.75 10.17 4.66 7.35 4.23 5.85 3.15 9.16 3.45 3.7 7.18 3.65 4.49 4.26 5.49 3.55 1.53 0.17 3.32 8.2 7.99 6.07 4.6 2.98 7.5 6.59 3.29 1.21 4.05
"84" 1.71 6.75 4.63 4.65 5.37 2.36 5.88 5.12 3.72 4.87 5.51 7.01 5.02 5.14 1.27 2.74 4.38 8.96 5.97 8.56 5.33 6.58 7.48 8.62 3.53 5.6 4.87 9.22 3.77 6.45 6.76 3.54 7.37 5.26 8.17 0.8 5.49 0.47 3.72 4.8 2.06 6.63 5.94 6.25 4.48 4.53 2.9 6.18 2.63 7.67 4.02 3.26 3.91 5.76 6.86 8.68 7.74 2.81 5.06 6.11 6.27 3.3 2.03
"85" 4.67 2.65 6.71 7.73 2.46 8.68 0.3 6.36 8.08 8.82 6.11 8.51 5.14 5.3 4.42 4.03 8.32 7.43 4.81 4.91 7.88 5.12 3.85 5.32 7.57 5.42 5.69 5.11 4.62 5.4 5.53 6.91 6.06 6.07 5.87 4.93 4.95 5.61 4.75 5.85 4.29 5.4 4.33 3.87 8.1 4.75 5.57 9.28 10.4 4.63 5.53 7.64 2.55 3.5 4.33 3.02 5.16 2.15 7.21 3.37 5.77 6.03 4.97
"86" 6.8 6.11 3.73 5.33 3.13 7.34 5.58 7.03 4.63 4.24 3.82 4.73 6.14 2.34 4.64 6.56 -0.58 7.28 6.24 6.69 3.81 5.72 1.96 6.17 4.87 3.1 4 5.59 2.49 2.1 6.88 0.34 4.09 4.47 4.46 4.36 2.71 3.14 7.18 4.64 4.32 2.27 0.96 4.66 2.56 3.74 4.99 6.01 6.36 4.67 6.28 7.74 7.03 4.29 7.99 5.62 6.24 4.96 1.38 6.15 5.8 7.46 4.51
"87" 4.26 3.61 6.1 1.94 5.76 2.47 3.18 6.12 8.03 7.31 3.99 8.03 4.47 5.83 4.94 5.94 5.31 8.36 4.61 2.96 5.79 4.49 4.77 5.24 7.02 4.27 5.39 3.91 3.71 5.67 5.53 4.98 5.31 3.94 5.81 5.22 5.39 4.08 6.99 6.44 5.62 4.34 5.07 2.96 2.03 0.18 4.85 4.52 5.93 7.87 4.62 7.82 1.93 7.26 5.41 5.61 7.79 2.16 6.77 5.73 3.54 4.62 6.16
"88" 3.11 3.78 6.02 0.58 4.46 6.76 4.12 3.12 5.49 7.18 4.13 6.07 5.18 5.34 9.46 2.79 6.18 7.3 9.12 2.45 7.19 6.22 3.39 7.82 5.68 6.06 4.69 4.63 7.11 6.15 7.38 3.85 7.56 4.68 6.74 6.74 2.74 5.63 4.26 4.79 4.08 4.76 6.49 8.45 5.82 3.18 3.25 7.62 8.27 8.08 4.12 7.3 6.72 10.38 4.47 3.76 3.47 9.59 3.74 3.79 7.47 3.27 6.06
"89" 4.92 4.78 8.69 4.98 2.74 2.39 4.49 6.84 7.41 7.39 9.16 5.86 5.97 2.95 2.45 4.75 3.94 6.18 2.72 9.5 7.17 5.49 5.01 7.3 4.02 3.14 3.57 2.55 5.43 7.43 6.05 4.33 6.43 1.95 6.44 3.29 7.36 5.33 1.72 4.62 2.7 3.35 7.03 5.22 4.27 4.04 4.71 4.54 1.58 3.84 3.9 8.84 3.16 5.77 4.58 3.7 2.3 4.01 4.27 5.37 5.09 3.33 6.87
"90" 3.99 6.05 7.68 4.54 4.65 2.38 4.08 9.3 3.29 3.5 7.17 2.92 4.79 5.73 5.03 4.87 7.23 4.39 -0.17 3.4 4.34 6.11 0.98 9.08 4.3 5.99 2.36 5.49 8.29 9.27 7.01 0.95 7.37 5.85 4.11 7.42 6.83 5.46 5.32 2.16 3.28 2.51 4.38 3.24 3.16 6.76 6.39 4.96 4.18 0.71 5.95 4.3 4.24 3.54 4.52 5.6 4.15 4.85 2.14 3.51 4.08 10.55 7.69
"91" 1.41 6.15 4.58 4.25 7.41 3.28 4.18 8.75 6.66 0.51 7.11 6.58 9.34 4.55 6.51 5.75 -0.67 8.26 3.39 5.31 3.34 8.28 7.48 1.97 4.71 6.71 4.52 5.48 4.29 5.77 8.03 7.69 8.41 5.7 5.7 5.38 4 5.02 4.7 5.86 3.72 9.08 7.9 4.21 2.53 6.68 7.04 3.14 5.58 -0.02 10.15 8.1 4.71 4.09 5.73 3.71 6.57 9.82 5.65 6.75 5.45 5.61 4.41
"92" 7.92 6.43 6.09 5.9 6.21 6.54 6.02 8.06 4.16 8 4.51 5 3.74 4.94 8.86 6.11 2.48 6.22 1.21 7.23 5 6.59 8.45 5.48 7.71 4.18 6.94 3.26 -1.34 2.79 2.9 4.02 7.42 1.9 4.65 5.64 0.9 4.61 5.36 5.19 4.6 3.65 3.6 3.24 4.72 7.47 5.55 3.18 2.14 3.33 4.61 5.75 3.57 4.37 3.88 2.22 8.65 5.66 3.67 4.71 5.78 6.88 4.38
"93" 3.27 3.01 2.78 3.31 4.27 3.69 3.86 5.98 7.46 6.07 1.91 5.54 8.35 3.25 3.87 0.81 2.71 4.6 3.83 4.25 7.52 5.02 9.78 4.24 3.8 3.24 5.71 7.43 4.62 2.27 4.62 7.45 2.68 7.95 0.22 5.09 6.04 5.03 7.72 4.31 2.51 7.85 1.89 4.51 2.09 4.6 5.1 6.33 5.11 1.12 3.66 3.58 5.66 5.62 6.96 5.17 4.13 3.1 2.96 1.22 3.62 8.14 7.3
